PRIMARY_KEY,CUSTOMER_ID,PR_ID,CUSTOMER,CONCEPT,APPROVER,APP_STATUS,APP_NOTES,APP_DATE,AUDIT_FLAG,SR,PRICE_RULE,VERSION_DATE,SHAREPOINT,ORIG_MOD,ADD_MOD,SUBMIT_DATE,PACKET,SALES_POSTED_OT,SYS_REP,NID,APP_BASE,BASE_NOTES,PTF,DPM_ASS,EXP_DATE,ADJ_DATE,ADJ_NOTES,MOD_TYPE,PRN_ATTACHED,MTRCS_SUBMIT,MTRCS_NOTES,MTRCS_SPLITS,MTRCS_BASE,MTRCS_FREQ,MTRCS_UPCH,MTRCS_AUDIT_N,MTRCS_ITM,MTRCS_BACKUP,MTRCS_DOWNLOAD,MTRCS_POSTED,MTRCS_GRADE
41874,0.0,0-&BRIARWD,BRIARWOOD,BRIARWOOD,Dane Casteel,COMPLETED,,,NO,,&BRIARWD,2023-10-16,YES,2023-10-13,,2023-10-13 00:00:00,BRIARWD,NO,043,C043BRWD,NO,,NO,AUSTIN DWORSKY,2039-12-31 00:00:00,2024-10-16 00:00:00,annual fee per case update,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41870,0.0,0-&DARKSID,DARK SIDE OF THE SPOON,DARK SIDE OF THE SPOON DPM PR,TRACEY SMITH,COMPLETED,,2023-10-13,NO,38833311,&DARKSID,2023-10-14,Dark Side of the Spoon,2023-10-13,,2023-10-13 00:00:00,C039DSSP,YES,39,C039DSSP,NO,,NO,Nancy Noyes,2025-08-29 00:00:00,2024-08-29 00:00:00,2% Annual Increase,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41867,0.0,0-&VIBECON,VIBE CONCEPT,VIBE CONCEPT RESTARAUNT,ADRIANA SANTOS RIZO,IN PROGRESS,Audit flag 10/31/23; pending OT upload,2023-10-16,NO,38857754,&VIBECON,2023-10-14,VIBE CONCEPT RESTAURANT,2023-10-13,,2023-10-13 00:00:00,VIBEREST,YES,Opsite 059,C059VBCR,NO,,NO,LEAH GRANZOW,2025-11-05 00:00:00,,,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41866,,,,RIKOS HOLDINGS/RIKOS PIZZA,,,,,NO,,&RIKOS,2023-10-14,,2023-10-13,,,RIKOS,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41865,,,,VZNT SAVOR RIVER STR RIVERBOAT,,,,,NO,,&VZRVRST,2023-10-14,,2023-10-13,,,VIZIENT2,,,,,,NO,JULIE MEIER,2039-12-31 00:00:00,,,,NO,FAIL,PASS,,,,,PASS,,,,,0.1
41864,1138.0,1138-10,RIB CITY,RIB CITY SCHEDULE 1B  LCC DPM,,,,,NO,,&RIBCTYB,2023-10-14,,2023-10-13,,,RIBCITY,,,,,,NO,DAVID BROUSSARD,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41863,1138.0,1138-1,RIB CITY,RIB CITY SCHEDULE 1A  LCC DPM,,,,,NO,,&RIBCITY,2023-10-14,,2023-10-13,,,RIBCITY,,,,,,NO,DAVID BROUSSARD,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41861,1257.0,1257-3,VITALITY BOWLS,VITALTY BWL 050&031 ONLY LCC,,,,,YES,,&VITBW50,2023-10-14,,2023-10-13,,,VITALBWL,,,,,,NO,NANCY NOYES,2039-12-31 00:00:00,,,,YES,FAIL,FAIL,,,,,FAIL,,,,,0.0
41857,7258.0,7258-7,SAND BAR & KIT,REST PART-ROCK N ROLL SUSHI,,,,,NO,,&RPRNRSU,2023-11-01,,2023-10-13,,,RESTPART,,,,,,NO,ROBERT CRAIG,2039-12-31 00:00:00,,,,NO,FAIL,PASS,,,,,PASS,,,,,0.1
41856,11022.0,11022-1,PERMIAN LODGING,PERMIAN LODGING LCC NO PRN PR,,,,,NO,,&PERMIAN,2023-10-14,,2023-10-13,,,PERMIAN,,,,,,NO,ROBERT CRAIG,2039-12-31 00:00:00,,,,NO,FAIL,PASS,,,,,PASS,,,,,0.1
41855,,,,PERMINA LODGING MA SERVED DPM,,,,,NO,,&PERMIA2,2023-10-14,,2023-10-13,,,PERMIAN,,,,,,NO,ROBERT CRAIG,2039-12-31 00:00:00,,,,NO,FAIL,PASS,,,,,PASS,,,,,0.1
41852,,,,CASUAL PINT,,,,,NO,,&CASUALP,2023-10-14,,2023-10-13,,,CASUALPI,,,,,,NO,LEAH GRANZOW,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41847,,,,&CHARLESTON PLACE ACQUISITION,,,,,NO,,&CHASPLC,2023-10-15,,2023-10-13,,,CHASPLAC,,,,,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41846,0.0,0-&KITCHEN,KITCHEN FRESH FOODS,KITCHEN FRESH FOODS,TRACEY SMITH,COMPLETED,,2023-10-13,NO,38851364,&KITCHEN,2023-10-14,Kitchen Fresh Foods,2023-10-13,,2023-10-13 00:00:00,KITCHENF,YES,35,C035KCFF,NO,,NO,LEAH GRANZOW,2026-10-01 00:00:00,2024-10-01 00:00:00,3% Annual Increase,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41840,,,,GREAT GRANDSONS LCC DPM PR,michele klefas,IN PROGRESS,Audit flag 10/30/2023; waiting on OT upload ,2023-10-18,YES,38839273,&GREATGS,2023-10-15,GREAT GRANDSON,2023-10-13,2023-10-15,2023-10-13 00:00:00,GREATGS,YES,OPSITE 163,C163GRGR,NO,,NO,JOHN RUSHBY,2026-01-01 00:00:00,2024-01-01 00:00:00,3% INCREASE IN FPU,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,0.95
41839,1136.0,1136-10,RESTAURANT PARTNERS,INTL DAIRY QUEEN DPM NEW MEXIC,,,,,NO,,&IDQ066,2023-10-14,,2023-10-13,,,,,,,,,NO,ELIAS RHODES,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41835,,,,TSO DELIVERY TX  LCC DPM,EMILIA FRY,IN PROGRESS,WORKING ON IT,,NO,38829308,&TSODELV,2023-10-13,,2023-10-12,,2023-10-12 00:00:00,TSOSDELV,YES,013 Central Texas,,NO,,NO,AUSTIN DWORSKY,2039-12-31 00:00:00,,,,YES,PASS,PASS,,,,,PASS,,,,,0.2
41834,0.0,0-&151COFF,151 COFFEE,151 COFFEE,MARIELLE HENDRIX,COMPLETED,,2023-10-12,NO,38812343,&151COFF,2023-10-13,151 Coffee,2023-10-12,,2023-10-12 00:00:00,151COFF,YES,6,C006CFFE,NO,,NO,DESIREE RICE,2026-12-01 00:00:00,2024-12-01 00:00:00,3% ANNUAL,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41833,,,,ARIZONA PIZZA CO LCC DPM,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/28/23; pending OT upload,2023-10-16,NO,38825638,&ARIZPIZ,2023-10-13,Arizona Pizza Company,2023-10-12,,2023-10-12 00:00:00,ARIZPIZZ,YES,Opsite 025,ARPZ,NO,,NO,ROBERT CRAIG,2039-12-31 00:00:00,2024-10-01 00:00:00,3% fee/unit items,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41832,,,,&HAPPY JOES NO PRN PR C039HJPC,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/29/23; pending OT upload,2023-10-16,NO,38822768,&HAPPYJO,2023-10-14,Happy Joes,2023-10-12,,2023-10-04 00:00:00,C039HJPC,NO,Opsite 039,C039HJPC,NO,,NO,CYNTHIA KREUL,2039-12-31 00:00:00,2024-08-07 00:00:00,$0.02/cs,AMENDMENT,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41831,,,,BETTER THAN SEX C016BTTS LCC,,,,,NO,,&BETTER,2023-10-13,,2023-10-12,,,BTTRTHAN,,,,,,NO,JOHN RUSHBY,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41830,,,,GARRETT POPCORN 4&MORE DPM PR,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/29/23; pending OT upload,2023-10-17,NO,38805820,&GARRETT,2023-10-14,Garrett Popcorn,2023-10-12,,2023-10-09 00:00:00,GARRETT,NO,Opsite 024,C024GRPC,NO,,NO,JOHN RUSHBY,2024-09-26 00:00:00,2024-09-27 00:00:00,2% FPU annually,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41828,,,,BLANK STREET,,,in QA box; not assigned,,NO,,&BLANKST,2023-10-13,,2023-10-12,,,BLANKST,,,,,,NO,JAKI MCCONKEY,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41825,,,,LADYBIRD TACO LCC DPM PR,DEBBIE GUILLAUME,IN PROGRESS,in QA box; not assigned,,NO,,&LADYBRD,2023-10-13,,2023-10-12,,,LADYBIRD,,,,,,NO,NANCY NOYES,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41821,0.0,0-&BSALAD,BIG SALAD,BIG SALAD FRANCHISING GROUP,MARIELLE HENDRIX,IN PROGRESS,,,NO,,&BSALAD,2023-10-13,,2023-10-12,,,,,,,,,NO,JANIELLE FRETT,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41820,1464.0,1464-1,NEWKS EATERY,NEWKS DPM PRICE RULE,,,in QA box; not assigned,,NO,,&NEWKS,2023-10-16,,2023-10-12,,,NEWKS,,,,,,NO,TAMMY ILER,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41818,683.0,683-1,AREAS,AREAS USA INC  DPM PRICE RULE,BECCA MOORE,IN PROGRESS,FLAG DUE 10.31.23,2023-10-16,NO,38831465,&AREAS,2023-10-16,AREAS,2023-10-12,,2023-10-12 00:00:00,AREAS,YES,Jane Hodson,AREA,NO,,NO,CYNTHIA KREUL,2024-07-31 00:00:00,,,CORRECTION,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41817,,,,GARRETT POPCORN LESS THAN 4 PR,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/29/23; pending OT upload,2023-10-17,NO,38805820,&GARRLT4,2023-10-14,Garrett Popcorn,2023-10-12,,2023-10-09 00:00:00,GARRETT,NO,Opsite 024,C024GRPC,NO,,NO,JOHN RUSHBY,2024-09-26 00:00:00,2024-09-27 00:00:00,2% FPU annually,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41814,1136.0,1136-11,RESTAURANT PARTNERS,TSO DELIVERY TX  LCC DPM,,,in QA box; not assigned,,NO,,&TSODELV,2023-12-13,,2023-10-12,,,,,,,,,NO,AUSTIN DWORSKY,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41811,0.0,0-&VZBESTW,VIZIENT,VZNT SAVOR BEST WESTERN PLUS,BECCA MOORE,COMPLETED,,2023-10-13,YES,38768036,&VZBESTW,2023-10-12,VIZIENT,2023-10-11,2023-10-13,2023-10-11 00:00:00,VIZIENT2,YES,Opsite 003,,NO,,NO,JULIE MEIER,2039-12-31 00:00:00,,,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41810,0.0,0-&TONYBUR,TONYBURGER,TONY BURGER C&N CARVER,BECCA MOORE,IN PROGRESS,FLAG DUE 10.31.23,2023-10-13,NO,38774451,&TONYBUR,2023-10-16,Tony Burgers,2023-10-11,,2023-10-11 00:00:00,TONYBURG,YES,opsite 005,C005TYBG,NO,,NO,DAVID BROUSSARD,2025-10-05 00:00:00,,,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41809,0.0,0-&VZSTCRI,VIZIENT,VZNT SAVOR ST CRISPINS CONF,BECCA MOORE,COMPLETED,,2023-10-13,YES,38769408,&VZSTCRI,2023-10-12,,2023-10-11,2023-10-13,2023-10-11 00:00:00,VIZIENT2,YES,OPSITE 026,,NO,,NO,JULIE MEIER,2039-12-31 00:00:00,,,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41808,1136.0,1136-2,RESTAURANT PARTNERS,CHEESECAKE FACTORY 4 DELIVERY,BECCA MOORE,IN PROGRESS,,,NO,,&CAKE4D,2023-10-16,,2023-10-11,2023-10-17,,,,,,,,NO,ROBERT CRAIG,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41807,,,,DELPHI TOMASITAS DPM PR LCC,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/28/23; pending OT upload,2023-10-13,NO,38763005,&TMST,2023-10-13,Tomasitas,2023-10-11,,2023-10-06 00:00:00,TOMASITA,YES,Opsite 066,C066TMST,NO,,NO,JOHN RUSHBY,2039-12-31 00:00:00,,,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41806,0.0,0-&POKEWRK,POKEWORKS,POKEWORKS/BEYOND RESTAURANT PR,BECCA MOORE,IN PROGRESS,FLAG DUE 10.30.23,2023-10-13,NO,38764745,&POKEWRK,2023-10-14,POKEWORKS,2023-10-11,,2023-10-11 00:00:00,POKEWRKS,YES,OPSITE 045,PKWK,NO,,NO,JOHN RUSHBY,2025-08-25 00:00:00,2024-08-30 00:00:00,.05 FEE PER UNIT INCREASE,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41805,0.0,0-&LANSDOW,LANSDOWNE STREET,LANSDOWNE STREET LLC,HEATHER CORLEY,COMPLETED,,2023-10-12,NO,38749570,&LANSDOW,2023-10-13,Lansdowne Street,2023-10-11,,2023-10-11 00:00:00,LANSDOWN,YES,37,C037LSST,NO,,NO,YOLANDA CARRIER,2026-07-31 00:00:00,2024-07-31 00:00:00,3% Annual Increase ,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41804,,,,CHEESECAKE FACTORY 4 DELIVERY,BECCA MOORE,VOID,wanted a different start date ,,NO,,&CAKE4D,2023-10-12,,2023-10-11,,,CHSCAKE,,,,,,NO,ROBERT CRAIG,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41803,,,,PERSIMMONS RESTAURANT LCC,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/27/23; pending OT upload,2023-10-13,NO,38768531,&PERSIMM,2023-10-12,Persimmons Restaurant,2023-10-11,,2023-10-09 00:00:00,PERSIMNS,YES,Opsite 163,David Broussard,NO,,NO,DAVID BROUSSARD,2025-07-06 00:00:00,2024-07-06 00:00:00,3% annual increase,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41799,,,,OMELETTE CAFE DPM PR,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/27/23; pending OT upload,2023-10-13,NO,38782216,&OMELETE,2023-10-12,Omelette Group,2023-10-11,,2023-10-04 00:00:00,OMELETTE,YES,Opsite 003,C003OCFS,NO,,NO,SHAMONICA JONES,2039-12-31 00:00:00,2024-10-02 00:00:00,3% annual increase,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41793,5467.0,5467-1,BOONDOCKS,BOONDOCKS GRILL & DRAFT 016,LISA HERMAN,IN PROGRESS,audit flag 10/25/23,2023-10-17,NO,38736784,&BOONDK,2023-10-11,Boondocks,2023-10-10,2023-10-16,2023-10-10 00:00:00,BOONDCKS,YES,016,C016BGDH,NO,,NO,DESIREE RICE,2024-01-10 00:00:00,,none,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,,0.65
41792,665.0,665-1,ACME MANAGEMENT GROUP,&ACME OYSTER HOUSE DPM PR,,,,,NO,,&ACME,2023-10-11,,2023-10-10,,,ACMEMGMT,,,,,,NO,JAKI MCCONKEY,2039-12-31 00:00:00,,,,YES,FAIL,PASS,,,,,PASS,,,,,0.1
41791,1600.0,1600-1,BURTONS GRILL,BURTONS GRILL DPM PR  LCC,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/31/23; pending OT upload,2023-10-13,NO,38737048,&BURTONS,2023-10-16,Burtons Grill,2023-10-10,,2023-10-05 00:00:00,BURTONSG,YES,Opsite 056,BTNS,NO,,NO,JOHN RUSHBY,2039-12-31 00:00:00,2024-02-01 00:00:00,3% FPU Annually,AMENDMENT,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41790,1136.0,1136-10,RESTAURANT PARTNERS,TEST DOD FLAG,,,,,YES,,&TESTDOD,2023-10-12,,2023-10-10,,,,,,,,,NO,MARK MADISON,2039-12-31 00:00:00,,,,NO,FAIL,FAIL,,,,,FAIL,,,,,0.0
41789,,,,COLUMBINE COUNTRY CL DPM PR,DEBBIE GUILLAUME,COMPLETED,Audit flag 10/26/23; pending OT upload,2023-10-12,NO,38712696,&COLUMCC,2023-10-11,Columbine Country Club,2023-10-09,,2023-10-06 00:00:00,COLUMBNE,YES,Opsite 059,Tammy Iler,NO,,NO,TAMMY ILER,2039-12-31 00:00:00,,,NEW,YES,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41787,0.0,0-&SAVANAH,SAVANNAHS STEAK & SEAFOOD,SAVANNAHS STEAK & SEAFOOD,MARIELLE HENDRIX,COMPLETED,,2023-10-10,NO,38729706,&SAVANAH,2023-10-10,Savannah Steak & Seafood,2023-10-09,,2023-10-09 00:00:00,SAVANNAH,NO,67,Being Created,NO,,NO,JAKI MCCONKEY,2024-10-01 00:00:00,,,NEW,NO,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1.0
41785,,,,LARRYS GIANT SUBS,DEBBIE GUILLAUME,IN PROGRESS,,,NO,,&LARRYS,2023-10-10,,2023-10-09,2023-10-10,,LARRYSUB,,,,,,NO,JAKI MCCONKEY,2039-12-31 00:00:00,,,,NO,FAIL,PASS,,,,,FAIL,,,,,0.05
